,scenario,reg_type,pca_components,knn_num_neighbors,r-squared
306,scale+pca,KNN,1,56,0.1039559787464267
307,"pca, no scale",KNN,1,56,0.034291445500332474
308,"no pca, no scale",KNN,1,56,0.14183450438603884
309,scale+pca,KNN,2,56,0.2732592685123695
310,"pca, no scale",KNN,2,56,0.053424366592675465
311,"no pca, no scale",KNN,2,56,0.14183450438603884
312,scale+pca,KNN,3,56,0.31098989106342667
313,"pca, no scale",KNN,3,56,0.14803620346105695
314,"no pca, no scale",KNN,3,56,0.14183450438603884
315,scale+pca,KNN,4,56,0.3134898858481464
316,"pca, no scale",KNN,4,56,0.14812821343812288
317,"no pca, no scale",KNN,4,56,0.14183450438603884
318,scale+pca,KNN,5,56,0.32137722247367073
319,"pca, no scale",KNN,5,56,0.1456001327603217
320,"no pca, no scale",KNN,5,56,0.14183450438603884
321,scale+pca,KNN,6,56,0.3228869887816018
322,"pca, no scale",KNN,6,56,0.14184829200764204
323,"no pca, no scale",KNN,6,56,0.14183450438603884
324,scale+pca,KNN,1,57,0.10520252055275259
325,"pca, no scale",KNN,1,57,0.034337232423862996
326,"no pca, no scale",KNN,1,57,0.141438882551309
327,scale+pca,KNN,2,57,0.2733322743542139
328,"pca, no scale",KNN,2,57,0.052874706300999996
329,"no pca, no scale",KNN,2,57,0.141438882551309
330,scale+pca,KNN,3,57,0.3110087220712112
331,"pca, no scale",KNN,3,57,0.14794446694862284
332,"no pca, no scale",KNN,3,57,0.141438882551309
333,scale+pca,KNN,4,57,0.31330173399904404
334,"pca, no scale",KNN,4,57,0.14792449102317384
335,"no pca, no scale",KNN,4,57,0.141438882551309
336,scale+pca,KNN,5,57,0.320742379957044
337,"pca, no scale",KNN,5,57,0.1453316896123933
338,"no pca, no scale",KNN,5,57,0.141438882551309
339,scale+pca,KNN,6,57,0.32295756054418556
340,"pca, no scale",KNN,6,57,0.14153549218973838
341,"no pca, no scale",KNN,6,57,0.141438882551309
342,scale+pca,KNN,1,58,0.10564727861942969
343,"pca, no scale",KNN,1,58,0.034340867598916636
344,"no pca, no scale",KNN,1,58,0.14088933740450382
345,scale+pca,KNN,2,58,0.2732152038648008
346,"pca, no scale",KNN,2,58,0.05267782257717246
347,"no pca, no scale",KNN,2,58,0.14088933740450382
348,scale+pca,KNN,3,58,0.3109486601766649
349,"pca, no scale",KNN,3,58,0.14768766999697025
350,"no pca, no scale",KNN,3,58,0.14088933740450382
351,scale+pca,KNN,4,58,0.31335551657848626
352,"pca, no scale",KNN,4,58,0.1477250610479809
353,"no pca, no scale",KNN,4,58,0.14088933740450382
354,scale+pca,KNN,5,58,0.32071788757294883
355,"pca, no scale",KNN,5,58,0.14492292667592577
356,"no pca, no scale",KNN,5,58,0.14088933740450382
357,scale+pca,KNN,6,58,0.32243344304486987
358,"pca, no scale",KNN,6,58,0.1410410960745283
359,"no pca, no scale",KNN,6,58,0.14088933740450382
360,scale+pca,KNN,1,59,0.10599861635021013
361,"pca, no scale",KNN,1,59,0.03440043700681894
362,"no pca, no scale",KNN,1,59,0.1406947333631422
363,scale+pca,KNN,2,59,0.2732440169375052
364,"pca, no scale",KNN,2,59,0.05258342531506144
365,"no pca, no scale",KNN,2,59,0.1406947333631422
366,scale+pca,KNN,3,59,0.3103976936946613
367,"pca, no scale",KNN,3,59,0.14762248486004315
368,"no pca, no scale",KNN,3,59,0.1406947333631422
369,scale+pca,KNN,4,59,0.3132082977342976
370,"pca, no scale",KNN,4,59,0.14752009724877246
371,"no pca, no scale",KNN,4,59,0.1406947333631422
372,scale+pca,KNN,5,59,0.3204752169502805
373,"pca, no scale",KNN,5,59,0.14465087681301225
374,"no pca, no scale",KNN,5,59,0.1406947333631422
375,scale+pca,KNN,6,59,0.3221692339933363
376,"pca, no scale",KNN,6,59,0.14075822722475673
377,"no pca, no scale",KNN,6,59,0.1406947333631422
